mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.5827814569536424,	0.5827814569536424,	0.5827814569536424,	0.4135593220338983,	0.7625,	0.5362637362637362,	0.41379310344827586,	0.4485981308411215,	0.43049327354260086,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.4642233856893543,	0.5720430107526882,	0.51252408477842,	[True, True, False, True, False, True, False, False, False, True, True, True, False]
0.5827814569536424,	0.5827814569536424,	0.5827814569536424,	0.4135593220338983,	0.7625,	0.5362637362637362,	0.41379310344827586,	0.4485981308411215,	0.43049327354260086,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.4642233856893543,	0.5720430107526882,	0.51252408477842,	[True, True, False, True, False, True, False, True, False, True, True, True, False]
0.541095890410959,	0.5231788079470199,	0.5319865319865321,	0.44696969696969696,	0.7375,	0.5566037735849056,	0.46846846846846846,	0.48598130841121495,	0.47706422018348627,	0.5,	0.14893617021276595,	0.22950819672131148,	0.4785046728971963,	0.5505376344086022,	0.512,	[True, True, True, True, False, True, True, False, False, True, False, True, False]
0.541095890410959,	0.5231788079470199,	0.5319865319865321,	0.44696969696969696,	0.7375,	0.5566037735849056,	0.46846846846846846,	0.48598130841121495,	0.47706422018348627,	0.5,	0.14893617021276595,	0.22950819672131148,	0.4785046728971963,	0.5505376344086022,	0.512,	[True, True, True, True, False, True, True, True, False, True, False, True, False]
0.5416666666666666,	0.5165562913907285,	0.528813559322034,	0.45018450184501846,	0.7625,	0.5661252900232019,	0.42735042735042733,	0.4672897196261682,	0.44642857142857145,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.47513812154696133,	0.5548387096774193,	0.511904761904762,	[False, False, True, True, False, True, False, False, False, True, True, True, False]
0.5342465753424658,	0.5165562913907285,	0.5252525252525253,	0.45185185185185184,	0.7625,	0.5674418604651162,	0.43103448275862066,	0.4672897196261682,	0.44843049327354256,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.47513812154696133,	0.5548387096774193,	0.511904761904762,	[True, False, True, True, False, True, False, False, False, True, True, True, False]
0.5416666666666666,	0.5165562913907285,	0.528813559322034,	0.45018450184501846,	0.7625,	0.5661252900232019,	0.42735042735042733,	0.4672897196261682,	0.44642857142857145,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.47513812154696133,	0.5548387096774193,	0.511904761904762,	[False, False, True, True, False, True, False, True, False, True, True, True, False]
0.5342465753424658,	0.5165562913907285,	0.5252525252525253,	0.45185185185185184,	0.7625,	0.5674418604651162,	0.43103448275862066,	0.4672897196261682,	0.44843049327354256,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.47513812154696133,	0.5548387096774193,	0.511904761904762,	[True, False, True, True, False, True, False, True, False, True, True, True, False]
0.5140845070422535,	0.48344370860927155,	0.4982935153583618,	0.4798387096774194,	0.74375,	0.5833333333333334,	0.45217391304347826,	0.48598130841121495,	0.46846846846846846,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.48643410852713176,	0.5397849462365591,	0.5117227319062181,	[True, True, True, True, True, True, False, False, False, True, True, True, False]
0.5140845070422535,	0.48344370860927155,	0.4982935153583618,	0.4798387096774194,	0.74375,	0.5833333333333334,	0.45217391304347826,	0.48598130841121495,	0.46846846846846846,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.48643410852713176,	0.5397849462365591,	0.5117227319062181,	[True, True, True, True, True, True, False, True, False, True, True, True, False]
0.5401459854014599,	0.4900662251655629,	0.513888888888889,	0.49356223175965663,	0.71875,	0.5852417302798981,	0.4528301886792453,	0.4485981308411215,	0.4507042253521127,	0.5384615384615384,	0.14893617021276595,	0.23333333333333334,	0.49897750511247446,	0.524731182795699,	0.5115303983228512,	[False, True, True, True, True, True, False, False, True, True, True, True, False]
0.5323741007194245,	0.4900662251655629,	0.5103448275862069,	0.49356223175965663,	0.71875,	0.5852417302798981,	0.46153846153846156,	0.4485981308411215,	0.4549763033175356,	0.5384615384615384,	0.14893617021276595,	0.23333333333333334,	0.49897750511247446,	0.524731182795699,	0.5115303983228512,	[False, True, True, True, True, True, True, False, True, True, True, True, False]
0.5401459854014599,	0.4900662251655629,	0.513888888888889,	0.49356223175965663,	0.71875,	0.5852417302798981,	0.4528301886792453,	0.4485981308411215,	0.4507042253521127,	0.5384615384615384,	0.14893617021276595,	0.23333333333333334,	0.49897750511247446,	0.524731182795699,	0.5115303983228512,	[False, True, True, True, True, True, False, True, True, True, True, True, False]
0.5323741007194245,	0.4900662251655629,	0.5103448275862069,	0.49356223175965663,	0.71875,	0.5852417302798981,	0.46153846153846156,	0.4485981308411215,	0.4549763033175356,	0.5384615384615384,	0.14893617021276595,	0.23333333333333334,	0.49897750511247446,	0.524731182795699,	0.5115303983228512,	[False, True, True, True, True, True, True, True, True, True, True, True, False]
0.5333333333333333,	0.5298013245033113,	0.53156146179402,	0.4412811387900356,	0.775,	0.562358276643991,	0.4336283185840708,	0.45794392523364486,	0.4454545454545455,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.46846846846846846,	0.5591397849462365,	0.5098039215686274,	[True, True, True, True, False, True, True, False, True, True, True, True, False]
0.5333333333333333,	0.5298013245033113,	0.53156146179402,	0.4412811387900356,	0.775,	0.562358276643991,	0.4336283185840708,	0.45794392523364486,	0.4454545454545455,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.46846846846846846,	0.5591397849462365,	0.5098039215686274,	[True, True, True, True, False, True, True, True, True, True, True, True, False]
0.5177304964539007,	0.48344370860927155,	0.5,	0.47035573122529645,	0.74375,	0.5762711864406779,	0.45871559633027525,	0.4672897196261682,	0.462962962962963,	0.7,	0.14893617021276595,	0.24561403508771928,	0.4853801169590643,	0.535483870967742,	0.5092024539877301,	[False, True, True, True, True, True, True, False, False, True, True, True, False]
0.5177304964539007,	0.48344370860927155,	0.5,	0.47035573122529645,	0.74375,	0.5762711864406779,	0.45871559633027525,	0.4672897196261682,	0.462962962962963,	0.7,	0.14893617021276595,	0.24561403508771928,	0.4853801169590643,	0.535483870967742,	0.5092024539877301,	[False, True, True, True, True, True, True, True, False, True, True, True, False]
0.5481481481481482,	0.4900662251655629,	0.5174825174825175,	0.49537037037037035,	0.66875,	0.5691489361702127,	0.4807692307692308,	0.4672897196261682,	0.47393364928909953,	0.4666666666666667,	0.14893617021276595,	0.22580645161290325,	0.5063829787234042,	0.5118279569892473,	0.509090909090909,	[False, True, True, True, True, True, False, False, True, True, False, True, False]
0.5481481481481482,	0.4900662251655629,	0.5174825174825175,	0.49537037037037035,	0.66875,	0.5691489361702127,	0.4807692307692308,	0.4672897196261682,	0.47393364928909953,	0.4666666666666667,	0.14893617021276595,	0.22580645161290325,	0.5063829787234042,	0.5118279569892473,	0.509090909090909,	[False, True, True, True, True, True, False, True, True, True, False, True, False]
0.5202702702702703,	0.5099337748344371,	0.5150501672240804,	0.45018450184501846,	0.7625,	0.5661252900232019,	0.4375,	0.45794392523364486,	0.4474885844748858,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.47232472324723246,	0.5505376344086022,	0.5084409136047665,	[False, False, True, True, False, True, True, False, False, True, True, True, False]
0.5202702702702703,	0.5099337748344371,	0.5150501672240804,	0.45018450184501846,	0.7625,	0.5661252900232019,	0.4375,	0.45794392523364486,	0.4474885844748858,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.47232472324723246,	0.5505376344086022,	0.5084409136047665,	[False, False, True, True, False, True, True, True, False, True, True, True, False]
0.4607329842931937,	0.5827814569536424,	0.5146198830409358,	0.45864661654135336,	0.7625,	0.5727699530516431,	0.42105263157894735,	0.4485981308411215,	0.43438914027149317,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.4570446735395189,	0.5720430107526882,	0.5081184336198663,	[False, True, False, True, False, True, True, False, False, True, True, True, False]
0.4607329842931937,	0.5827814569536424,	0.5146198830409358,	0.45864661654135336,	0.7625,	0.5727699530516431,	0.42105263157894735,	0.4485981308411215,	0.43438914027149317,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.4570446735395189,	0.5720430107526882,	0.5081184336198663,	[False, True, False, True, False, True, True, True, False, True, True, True, False]
0.5285714285714286,	0.4900662251655629,	0.5085910652920963,	0.4810126582278481,	0.7125,	0.5743073047858942,	0.46601941747572817,	0.4485981308411215,	0.45714285714285713,	0.5,	0.14893617021276595,	0.22950819672131148,	0.49190283400809715,	0.5225806451612903,	0.5067778936392076,	[False, True, True, True, True, True, True, False, True, True, False, True, False]
0.524822695035461,	0.4900662251655629,	0.5068493150684932,	0.4810126582278481,	0.7125,	0.5743073047858942,	0.47058823529411764,	0.4485981308411215,	0.45933014354066987,	0.5,	0.14893617021276595,	0.22950819672131148,	0.49190283400809715,	0.5225806451612903,	0.5067778936392076,	[True, True, True, True, True, True, True, False, True, True, False, True, False]
0.5285714285714286,	0.4900662251655629,	0.5085910652920963,	0.4810126582278481,	0.7125,	0.5743073047858942,	0.46601941747572817,	0.4485981308411215,	0.45714285714285713,	0.5,	0.14893617021276595,	0.22950819672131148,	0.49190283400809715,	0.5225806451612903,	0.5067778936392076,	[False, True, True, True, True, True, True, True, True, True, False, True, False]
0.524822695035461,	0.4900662251655629,	0.5068493150684932,	0.4810126582278481,	0.7125,	0.5743073047858942,	0.47058823529411764,	0.4485981308411215,	0.45933014354066987,	0.5,	0.14893617021276595,	0.22950819672131148,	0.49190283400809715,	0.5225806451612903,	0.5067778936392076,	[True, True, True, True, True, True, True, True, True, True, False, True, False]
0.5098039215686274,	0.5165562913907285,	0.5131578947368421,	0.44485294117647056,	0.75625,	0.5601851851851851,	0.43478260869565216,	0.4672897196261682,	0.45045045045045046,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.46557971014492755,	0.5526881720430108,	0.5054080629301869,	[True, False, True, True, False, True, True, False, False, True, True, True, False]
0.5098039215686274,	0.5165562913907285,	0.5131578947368421,	0.44485294117647056,	0.75625,	0.5601851851851851,	0.43478260869565216,	0.4672897196261682,	0.45045045045045046,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.46557971014492755,	0.5526881720430108,	0.5054080629301869,	[True, False, True, True, False, True, True, True, False, True, True, True, False]
0.5035460992907801,	0.47019867549668876,	0.48630136986301375,	0.46511627906976744,	0.75,	0.5741626794258373,	0.46296296296296297,	0.4672897196261682,	0.46511627906976744,	0.7,	0.14893617021276595,	0.24561403508771928,	0.4796905222437137,	0.5333333333333333,	0.5050916496945009,	[False, True, True, True, True, True, False, False, False, True, True, True, False]
0.5035460992907801,	0.47019867549668876,	0.48630136986301375,	0.46511627906976744,	0.75,	0.5741626794258373,	0.46296296296296297,	0.4672897196261682,	0.46511627906976744,	0.7,	0.14893617021276595,	0.24561403508771928,	0.4796905222437137,	0.5333333333333333,	0.5050916496945009,	[False, True, True, True, True, True, False, True, False, True, True, True, False]
0.4972972972972973,	0.609271523178808,	0.5476190476190477,	0.40404040404040403,	0.75,	0.525164113785558,	0.4307692307692308,	0.5233644859813084,	0.47257383966244726,	0.5,	0.1702127659574468,	0.25396825396825395,	0.4394904458598726,	0.5935483870967742,	0.5050320219579141,	[True, True, False, True, False, True, False, False, False, True, False, True, False]
0.4972972972972973,	0.609271523178808,	0.5476190476190477,	0.40404040404040403,	0.75,	0.525164113785558,	0.4307692307692308,	0.5233644859813084,	0.47257383966244726,	0.5,	0.1702127659574468,	0.25396825396825395,	0.4394904458598726,	0.5935483870967742,	0.5050320219579141,	[True, True, False, True, False, True, False, True, False, True, False, True, False]
0.5120481927710844,	0.5629139072847682,	0.5362776025236593,	0.43703703703703706,	0.7375,	0.5488372093023256,	0.42735042735042733,	0.4672897196261682,	0.44642857142857145,	0.5,	0.1702127659574468,	0.25396825396825395,	0.45869947275922673,	0.5612903225806452,	0.5048355899419729,	[True, True, False, True, False, True, False, False, False, True, True, False, False]
0.5120481927710844,	0.5629139072847682,	0.5362776025236593,	0.43703703703703706,	0.7375,	0.5488372093023256,	0.42735042735042733,	0.4672897196261682,	0.44642857142857145,	0.5,	0.1702127659574468,	0.25396825396825395,	0.45869947275922673,	0.5612903225806452,	0.5048355899419729,	[True, True, False, True, False, True, False, True, False, True, True, False, False]
0.5375,	0.5695364238410596,	0.5530546623794212,	0.4136690647482014,	0.71875,	0.5251141552511415,	0.4186046511627907,	0.5046728971962616,	0.4576271186440678,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.45501730103806226,	0.5655913978494623,	0.50431447746884,	[True, False, False, True, False, True, False, False, False, True, True, True, False]
