mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.41414141414141414,	0.271523178807947,	0.32799999999999996,	0.46938775510204084,	0.2875,	0.35658914728682173,	0.5405405405405406,	0.18691588785046728,	0.2777777777777778,	0.4,	0.0425531914893617,	0.07692307692307691,	0.4560669456066946,	0.23440860215053763,	0.30965909090909094,	[False, False, False, True, False, True, False, True]
0.39805825242718446,	0.271523178807947,	0.3228346456692914,	0.45535714285714285,	0.31875,	0.37499999999999994,	0.4473684210526316,	0.1588785046728972,	0.23448275862068965,	0.5454545454545454,	0.1276595744680851,	0.2068965517241379,	0.4356060606060606,	0.24731182795698925,	0.3155006858710563,	[True, False, False, True, False, True, False, True]
0.4444444444444444,	0.26490066225165565,	0.33195020746887965,	0.4878048780487805,	0.375,	0.42402826855123676,	0.48214285714285715,	0.2523364485981308,	0.3312883435582822,	0.4444444444444444,	0.0851063829787234,	0.14285714285714285,	0.4712230215827338,	0.2817204301075269,	0.35262449528936746,	[False, True, False, True, False, True, False, True]
0.38596491228070173,	0.2913907284768212,	0.33207547169811313,	0.45901639344262296,	0.35,	0.3971631205673759,	0.4523809523809524,	0.17757009345794392,	0.2550335570469799,	1.0,	0.02127659574468085,	0.04166666666666667,	0.43010752688172044,	0.25806451612903225,	0.32258064516129026,	[True, True, False, True, False, True, False, True]
0.4657534246575342,	0.2251655629139073,	0.30357142857142855,	0.5096153846153846,	0.33125,	0.40151515151515144,	0.5098039215686274,	0.24299065420560748,	0.3291139240506329,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5,	0.25806451612903225,	0.3404255319148936,	[False, False, True, True, False, True, False, True]
0.46774193548387094,	0.19205298013245034,	0.27230046948356806,	0.4766355140186916,	0.31875,	0.3820224719101123,	0.5681818181818182,	0.2336448598130841,	0.3311258278145695,	1.0,	0.14893617021276595,	0.25925925925925924,	0.509090909090909,	0.24086021505376345,	0.32700729927007305,	[True, False, True, True, False, True, False, True]
0.4358974358974359,	0.2251655629139073,	0.296943231441048,	0.49572649572649574,	0.3625,	0.41877256317689526,	0.5,	0.18691588785046728,	0.27210884353741494,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.48582995951417,	0.25806451612903225,	0.33707865168539325,	[False, True, True, True, False, True, False, True]
0.43373493975903615,	0.23841059602649006,	0.3076923076923077,	0.4672131147540984,	0.35625,	0.4042553191489362,	0.5111111111111111,	0.21495327102803738,	0.3026315789473684,	1.0,	0.14893617021276595,	0.25925925925925924,	0.4785992217898833,	0.2645161290322581,	0.3407202216066482,	[True, True, True, True, False, True, False, True]
0.5238095238095238,	0.0728476821192053,	0.12790697674418605,	0.15217391304347827,	0.04375,	0.06796116504854367,	0.375,	0.028037383177570093,	0.05217391304347826,	0,	0.0,	0,	0.28,	0.04516129032258064,	0.07777777777777777,	[False, False, False, False, True, True, False, True]
0.4,	0.09271523178807947,	0.15053763440860216,	0.09090909090909091,	0.01875,	0.0310880829015544,	0.5,	0.037383177570093455,	0.06956521739130435,	0,	0.0,	0,	0.27631578947368424,	0.04516129032258064,	0.07763401109057301,	[True, False, False, False, True, True, False, True]
