mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.3,	0.15894039735099338,	0.20779220779220783,	0.22127659574468084,	0.325,	0.2632911392405063,	0.2222222222222222,	0.09345794392523364,	0.13157894736842105,	0.0,	0.0,	0,	0.23056300268096513,	0.18494623655913978,	0.2052505966587112,	[False, True, True, False, True, False, False, False]
0.375,	0.17880794701986755,	0.24215246636771298,	0.2009132420091324,	0.275,	0.23218997361477572,	0.14285714285714285,	0.028037383177570093,	0.04687499999999999,	0.0,	0.0,	0,	0.2334384858044164,	0.15913978494623657,	0.18925831202046034,	[True, True, True, False, True, False, False, False]
0.3333333333333333,	0.4503311258278146,	0.38309859154929576,	0.3563218390804598,	0.3875,	0.37125748502994005,	0.373134328358209,	0.2336448598130841,	0.2873563218390805,	0.6428571428571429,	0.19148936170212766,	0.29508196721311475,	0.3572984749455338,	0.35268817204301073,	0.354978354978355,	[False, False, False, True, True, False, False, False]
0.3105263157894737,	0.39072847682119205,	0.34604105571847504,	0.379746835443038,	0.375,	0.37735849056603776,	0.42105263157894735,	0.22429906542056074,	0.2926829268292683,	0.6428571428571429,	0.19148936170212766,	0.29508196721311475,	0.3627684964200477,	0.32688172043010755,	0.3438914027149321,	[True, False, False, True, True, False, False, False]
0.3515151515151515,	0.3841059602649007,	0.3670886075949367,	0.39037433155080214,	0.45625,	0.42074927953890484,	0.34782608695652173,	0.29906542056074764,	0.321608040201005,	0.6428571428571429,	0.19148936170212766,	0.29508196721311475,	0.37554585152838427,	0.36989247311827955,	0.37269772481040087,	[False, True, False, True, True, False, False, False]
0.3652694610778443,	0.40397350993377484,	0.3836477987421384,	0.4472049689440994,	0.45,	0.4485981308411215,	0.32,	0.22429906542056074,	0.26373626373626374,	0.6428571428571429,	0.19148936170212766,	0.29508196721311475,	0.3980815347721823,	0.35698924731182796,	0.37641723356009066,	[True, True, False, True, True, False, False, False]
0.3191489361702128,	0.3973509933774834,	0.35398230088495575,	0.33490566037735847,	0.44375,	0.3817204301075269,	0.31868131868131866,	0.27102803738317754,	0.29292929292929293,	0.6428571428571429,	0.19148936170212766,	0.29508196721311475,	0.3346534653465347,	0.3634408602150538,	0.3484536082474227,	[False, False, True, True, True, False, False, False]
0.32,	0.3708609271523179,	0.34355828220858897,	0.3615819209039548,	0.4,	0.3798219584569733,	0.2882882882882883,	0.29906542056074764,	0.29357798165137616,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.33613445378151263,	0.34408602150537637,	0.34006376195536664,	[True, False, True, True, True, False, False, False]
0.41134751773049644,	0.3841059602649007,	0.3972602739726027,	0.398876404494382,	0.44375,	0.42011834319526625,	0.3333333333333333,	0.27102803738317754,	0.2989690721649484,	0.6428571428571429,	0.19148936170212766,	0.29508196721311475,	0.3976190476190476,	0.35913978494623655,	0.3774011299435029,	[False, True, True, True, True, False, False, False]
0.456,	0.37748344370860926,	0.4130434782608695,	0.3869047619047619,	0.40625,	0.3963414634146342,	0.29411764705882354,	0.2803738317757009,	0.28708133971291866,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.3931203931203931,	0.34408602150537637,	0.3669724770642202,	[True, True, True, True, True, False, False, False]
0.4634146341463415,	0.12582781456953643,	0.19791666666666666,	0.12903225806451613,	0.075,	0.09486166007905136,	0.5,	0.04672897196261682,	0.08547008547008547,	0,	0.0,	0,	0.25,	0.07741935483870968,	0.11822660098522168,	[False, False, False, False, False, True, False, False]
0.45454545454545453,	0.13245033112582782,	0.20512820512820512,	0.12244897959183673,	0.075,	0.09302325581395349,	0.45454545454545453,	0.04672897196261682,	0.08474576271186442,	0,	0.0,	0,	0.24183006535947713,	0.07956989247311828,	0.11974110032362462,	[True, False, False, False, False, True, False, False]
