mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.5,	0.47019867549668876,	0.484641638225256,	0.5111111111111111,	0.575,	0.5411764705882353,	0.39285714285714285,	0.308411214953271,	0.34554973821989526,	0.5384615384615384,	0.14893617021276595,	0.23333333333333334,	0.48448687350835323,	0.43655913978494626,	0.4592760180995475,	[False, True, False, True, True, True, False, False, False]
0.4720496894409938,	0.5033112582781457,	0.48717948717948717,	0.52,	0.56875,	0.5432835820895522,	0.38372093023255816,	0.308411214953271,	0.3419689119170985,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.47165532879818595,	0.44731182795698926,	0.4591611479028698,	[False, True, False, True, False, True, True, False, False]
0.46060606060606063,	0.5033112582781457,	0.4810126582278481,	0.5,	0.5875,	0.5402298850574714,	0.4,	0.29906542056074764,	0.3422459893048128,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.4646017699115044,	0.45161290322580644,	0.4580152671755725,	[False, True, False, True, False, True, False, True, False]
0.5182481751824818,	0.47019867549668876,	0.4930555555555556,	0.5112359550561798,	0.56875,	0.5384615384615385,	0.3780487804878049,	0.2897196261682243,	0.328042328042328,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.4889975550122249,	0.43010752688172044,	0.4576659038901602,	[False, True, False, True, True, True, True, False, False]
0.5182481751824818,	0.47019867549668876,	0.4930555555555556,	0.4864864864864865,	0.5625,	0.5217391304347827,	0.4125,	0.308411214953271,	0.35294117647058815,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.4855072463768116,	0.432258064516129,	0.4573378839590443,	[True, True, False, True, True, True, False, False, False]
0.5034965034965035,	0.4768211920529801,	0.489795918367347,	0.5082872928176796,	0.575,	0.5395894428152493,	0.36470588235294116,	0.2897196261682243,	0.32291666666666663,	0.5384615384615384,	0.14893617021276595,	0.23333333333333334,	0.4786729857819905,	0.4344086021505376,	0.455467869222097,	[False, True, False, True, True, True, False, True, False]
0.5658914728682171,	0.48344370860927155,	0.5214285714285714,	0.46875,	0.5625,	0.5113636363636364,	0.34444444444444444,	0.2897196261682243,	0.31472081218274106,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.476303317535545,	0.432258064516129,	0.4532130777903044,	[False, True, True, True, True, True, True, False, False]
0.4838709677419355,	0.4966887417218543,	0.49019607843137253,	0.5,	0.5625,	0.5294117647058824,	0.37209302325581395,	0.29906542056074764,	0.33160621761658027,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.4659090909090909,	0.44086021505376344,	0.4530386740331491,	[False, True, False, True, False, True, True, True, False]
0.5725190839694656,	0.4966887417218543,	0.5319148936170213,	0.46808510638297873,	0.55,	0.5057471264367817,	0.3409090909090909,	0.2803738317757009,	0.3076923076923077,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.4784688995215311,	0.43010752688172044,	0.45300113250283125,	[False, True, True, True, True, True, True, True, False]
0.4927536231884058,	0.4503311258278146,	0.4705882352941177,	0.4972972972972973,	0.575,	0.5333333333333334,	0.39080459770114945,	0.3177570093457944,	0.35051546391752575,	0.4666666666666667,	0.14893617021276595,	0.22580645161290325,	0.47294117647058825,	0.432258064516129,	0.451685393258427,	[True, True, False, True, True, True, False, True, False]
0.46621621621621623,	0.45695364238410596,	0.46153846153846156,	0.5294117647058824,	0.5625,	0.5454545454545455,	0.3855421686746988,	0.29906542056074764,	0.3368421052631579,	0.5,	0.1702127659574468,	0.25396825396825395,	0.47721822541966424,	0.42795698924731185,	0.45124716553287986,	[False, True, False, True, False, True, False, False, False]
0.5144927536231884,	0.47019867549668876,	0.4913494809688581,	0.5112359550561798,	0.56875,	0.5384615384615385,	0.35,	0.2616822429906542,	0.29946524064171126,	0.5384615384615384,	0.14893617021276595,	0.23333333333333334,	0.48166259168704156,	0.4236559139784946,	0.45080091533180777,	[False, True, False, True, True, True, True, True, False]
0.5034965034965035,	0.4768211920529801,	0.489795918367347,	0.48633879781420764,	0.55625,	0.5189504373177842,	0.3764705882352941,	0.29906542056074764,	0.3333333333333333,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.4728132387706856,	0.43010752688172044,	0.4504504504504504,	[True, True, False, True, True, True, True, True, False]
0.5658914728682171,	0.48344370860927155,	0.5214285714285714,	0.4656084656084656,	0.55,	0.504297994269341,	0.3488372093023256,	0.2803738317757009,	0.31088082901554404,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.4771084337349398,	0.4258064516129032,	0.44999999999999996,	[True, True, True, True, True, True, True, False, False]
0.4930555555555556,	0.47019867549668876,	0.48135593220338985,	0.4972067039106145,	0.55625,	0.5250737463126843,	0.3972602739726027,	0.27102803738317754,	0.3222222222222222,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.4803921568627451,	0.421505376344086,	0.44902634593356244,	[True, True, False, True, True, True, True, False, False]
0.5590551181102362,	0.47019867549668876,	0.5107913669064749,	0.47540983606557374,	0.54375,	0.5072886297376092,	0.33707865168539325,	0.2803738317757009,	0.3061224489795918,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.47560975609756095,	0.41935483870967744,	0.44571428571428573,	[False, True, True, True, True, True, False, False, False]
0.5590551181102362,	0.47019867549668876,	0.5107913669064749,	0.46524064171123,	0.54375,	0.5014409221902018,	0.3409090909090909,	0.2803738317757009,	0.3076923076923077,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.4721549636803874,	0.41935483870967744,	0.44419134396355353,	[True, True, True, True, True, True, False, False, False]
0.5625,	0.4768211920529801,	0.5161290322580645,	0.47513812154696133,	0.5375,	0.5043988269794721,	0.3258426966292135,	0.27102803738317754,	0.29591836734693877,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.4743276283618582,	0.4172043010752688,	0.44393592677345534,	[False, True, True, True, True, True, False, True, False]
0.5645161290322581,	0.46357615894039733,	0.509090909090909,	0.5029239766081871,	0.5375,	0.5196374622356495,	0.3020833333333333,	0.27102803738317754,	0.2857142857142857,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.47761194029850745,	0.4129032258064516,	0.4429065743944637,	[True, True, True, True, False, True, False, True, False]
