mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.6413043478260869,	0.39072847682119205,	0.48559670781893,	0.5777777777777777,	0.4875,	0.5288135593220338,	0.4772727272727273,	0.19626168224299065,	0.2781456953642384,	0.7777777777777778,	0.14893617021276595,	0.25,	0.5892857142857143,	0.3548387096774194,	0.4429530201342282,	[False, True, True, True, False, True, True, True, False]
0.6483516483516484,	0.39072847682119205,	0.48760330578512406,	0.5891472868217055,	0.475,	0.5259515570934257,	0.5128205128205128,	0.18691588785046728,	0.273972602739726,	0.6666666666666666,	0.1276595744680851,	0.21428571428571427,	0.6007462686567164,	0.34623655913978496,	0.43929058663028653,	[False, True, True, True, False, True, False, True, False]
0.4892086330935252,	0.4503311258278146,	0.4689655172413793,	0.572463768115942,	0.49375,	0.5302013422818792,	0.4782608695652174,	0.205607476635514,	0.2875816993464052,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.5175438596491229,	0.38064516129032255,	0.43866171003717475,	[True, True, False, True, False, True, False, True, False]
0.6052631578947368,	0.45695364238410596,	0.5207547169811321,	0.5403225806451613,	0.41875,	0.471830985915493,	0.5106382978723404,	0.22429906542056074,	0.3116883116883117,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5622895622895623,	0.35913978494623655,	0.43832020997375326,	[True, True, True, True, True, True, True, True, False]
0.6442307692307693,	0.44370860927152317,	0.5254901960784314,	0.5396825396825397,	0.425,	0.4755244755244756,	0.48936170212765956,	0.21495327102803738,	0.2987012987012987,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5709342560553633,	0.3548387096774194,	0.4376657824933687,	[False, True, True, True, True, True, False, True, False]
0.6071428571428571,	0.4503311258278146,	0.5171102661596959,	0.5354330708661418,	0.425,	0.4738675958188154,	0.5,	0.22429906542056074,	0.30967741935483867,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5585284280936454,	0.35913978494623655,	0.43717277486910994,	[False, True, True, True, True, True, True, True, False]
0.6261682242990654,	0.44370860927152317,	0.5193798449612402,	0.5483870967741935,	0.425,	0.47887323943661964,	0.48936170212765956,	0.21495327102803738,	0.2987012987012987,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5689655172413793,	0.3548387096774194,	0.4370860927152318,	[True, True, True, True, True, True, False, True, False]
0.4961832061068702,	0.4304635761589404,	0.4609929078014184,	0.5827338129496403,	0.50625,	0.5418060200668896,	0.4772727272727273,	0.19626168224299065,	0.2781456953642384,	0.3888888888888889,	0.14893617021276595,	0.21538461538461537,	0.5240963855421686,	0.3741935483870968,	0.43663739021329995,	[False, True, False, True, False, True, False, True, False]
0.5037037037037037,	0.4503311258278146,	0.4755244755244755,	0.5539568345323741,	0.48125,	0.5150501672240803,	0.4528301886792453,	0.22429906542056074,	0.3,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.5115606936416185,	0.38064516129032255,	0.436498150431566,	[True, True, False, True, False, True, False, False, False]
0.6017699115044248,	0.4503311258278146,	0.5151515151515151,	0.5447154471544715,	0.41875,	0.47349823321554774,	0.46938775510204084,	0.21495327102803738,	0.2948717948717949,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5574324324324325,	0.3548387096774194,	0.43363994743758216,	[False, True, True, True, True, True, False, False, False]
0.6063829787234043,	0.37748344370860926,	0.4653061224489796,	0.5769230769230769,	0.46875,	0.5172413793103449,	0.5405405405405406,	0.18691588785046728,	0.2777777777777778,	0.7777777777777778,	0.14893617021276595,	0.25,	0.5888888888888889,	0.3419354838709677,	0.4326530612244898,	[False, True, True, True, False, True, False, False, False]
0.5039370078740157,	0.423841059602649,	0.4604316546762591,	0.5571428571428572,	0.4875,	0.52,	0.4782608695652174,	0.205607476635514,	0.2875816993464052,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.5180722891566265,	0.36989247311827955,	0.4316185696361355,	[False, True, False, True, False, True, True, True, False]
0.5892857142857143,	0.4370860927152318,	0.5019011406844106,	0.5483870967741935,	0.425,	0.47887323943661964,	0.4791666666666667,	0.21495327102803738,	0.29677419354838713,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5559322033898305,	0.35268817204301073,	0.43157894736842106,	[False, True, True, True, True, True, True, False, False]
0.631578947368421,	0.3973509933774834,	0.4878048780487804,	0.5539568345323741,	0.48125,	0.5150501672240803,	0.42857142857142855,	0.16822429906542055,	0.24161073825503354,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5664335664335665,	0.34838709677419355,	0.4314247669773635,	[True, True, True, True, False, True, True, True, False]
0.5775862068965517,	0.44370860927152317,	0.50187265917603,	0.5409836065573771,	0.4125,	0.46808510638297873,	0.5,	0.22429906542056074,	0.30967741935483867,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5503355704697986,	0.35268817204301073,	0.4298820445609436,	[False, True, False, True, True, True, False, False, False]
0.5789473684210527,	0.4370860927152318,	0.49811320754716976,	0.5483870967741935,	0.425,	0.47887323943661964,	0.46938775510204084,	0.21495327102803738,	0.2948717948717949,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5503355704697986,	0.35268817204301073,	0.4298820445609436,	[True, True, True, True, True, True, False, False, False]
0.5546218487394958,	0.4370860927152318,	0.48888888888888893,	0.5348837209302325,	0.43125,	0.47750865051903113,	0.5227272727272727,	0.21495327102803738,	0.304635761589404,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5427631578947368,	0.3548387096774194,	0.4291287386215865,	[True, True, False, True, True, True, False, False, False]
0.6404494382022472,	0.37748344370860926,	0.47500000000000003,	0.5606060606060606,	0.4625,	0.5068493150684932,	0.5405405405405406,	0.18691588785046728,	0.2777777777777778,	0.6666666666666666,	0.1276595744680851,	0.21428571428571427,	0.5880149812734082,	0.33763440860215055,	0.42896174863387976,	[True, True, True, True, False, True, False, True, False]
0.5677966101694916,	0.44370860927152317,	0.49814126394052044,	0.5403225806451613,	0.41875,	0.471830985915493,	0.48936170212765956,	0.21495327102803738,	0.2987012987012987,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5448504983388704,	0.35268817204301073,	0.4281984334203655,	[False, True, False, True, True, True, False, True, False]
0.5398230088495575,	0.40397350993377484,	0.4621212121212121,	0.5748031496062992,	0.45625,	0.5087108013937282,	0.5116279069767442,	0.205607476635514,	0.29333333333333333,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.543046357615894,	0.35268817204301073,	0.4276401564537158,	[True, True, False, True, False, True, True, True, False]
0.5945945945945946,	0.4370860927152318,	0.5038167938931297,	0.5409836065573771,	0.4125,	0.46808510638297873,	0.46,	0.21495327102803738,	0.29299363057324845,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5510204081632653,	0.34838709677419355,	0.4268774703557312,	[True, True, True, True, True, True, True, False, False]
0.5555555555555556,	0.4304635761589404,	0.48507462686567165,	0.5263157894736842,	0.4375,	0.4778156996587031,	0.5116279069767442,	0.205607476635514,	0.29333333333333333,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5394736842105263,	0.35268817204301073,	0.4265279583875163,	[True, True, False, True, True, True, False, True, False]
0.5109489051094891,	0.46357615894039733,	0.48611111111111116,	0.5447154471544715,	0.41875,	0.47349823321554774,	0.46808510638297873,	0.205607476635514,	0.2857142857142857,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5203761755485894,	0.35698924731182796,	0.42346938775510207,	[True, True, False, True, True, True, True, False, False]
0.6153846153846154,	0.3708609271523179,	0.4628099173553719,	0.5474452554744526,	0.46875,	0.5050505050505052,	0.4,	0.205607476635514,	0.2716049382716049,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5460750853242321,	0.34408602150537637,	0.42216358839050133,	[False, True, True, True, False, True, True, False, False]
0.5118110236220472,	0.4304635761589404,	0.4676258992805755,	0.5507246376811594,	0.475,	0.5100671140939598,	0.4166666666666667,	0.18691588785046728,	0.25806451612903225,	0.3888888888888889,	0.14893617021276595,	0.21538461538461537,	0.5075528700906344,	0.36129032258064514,	0.4221105527638191,	[False, True, False, True, False, True, False, False, False]
0.5147058823529411,	0.46357615894039733,	0.4878048780487805,	0.536,	0.41875,	0.47017543859649125,	0.45652173913043476,	0.19626168224299065,	0.27450980392156865,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5172413793103449,	0.3548387096774194,	0.4209183673469388,	[True, True, False, True, True, True, True, True, False]
0.6179775280898876,	0.36423841059602646,	0.4583333333333333,	0.5407407407407407,	0.45625,	0.4949152542372881,	0.42592592592592593,	0.21495327102803738,	0.2857142857142857,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5486111111111112,	0.33978494623655914,	0.4196547144754316,	[True, True, True, True, False, True, True, False, False]
0.6129032258064516,	0.37748344370860926,	0.4672131147540983,	0.5581395348837209,	0.45,	0.49826989619377166,	0.45,	0.16822429906542055,	0.24489795918367346,	0.7777777777777778,	0.14893617021276595,	0.25,	0.5682656826568265,	0.3311827956989247,	0.41847826086956524,	[True, True, True, True, False, True, False, False, False]
0.5275590551181102,	0.44370860927152317,	0.4820143884892086,	0.55,	0.4125,	0.4714285714285714,	0.45652173913043476,	0.19626168224299065,	0.27450980392156865,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5278688524590164,	0.34623655913978496,	0.41818181818181815,	[False, True, False, True, True, True, True, True, False]
0.632183908045977,	0.36423841059602646,	0.4621848739495798,	0.5737704918032787,	0.4375,	0.49645390070921985,	0.5277777777777778,	0.17757009345794392,	0.26573426573426573,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.5779467680608364,	0.32688172043010755,	0.4175824175824176,	[True, True, False, True, False, True, True, False, False]
0.5238095238095238,	0.4370860927152318,	0.47653429602888087,	0.5409836065573771,	0.4125,	0.46808510638297873,	0.45652173913043476,	0.19626168224299065,	0.27450980392156865,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5228758169934641,	0.34408602150537637,	0.4150453955901427,	[False, True, False, True, True, True, True, False, False]
0.5178571428571429,	0.3841059602649007,	0.44106463878326996,	0.5352112676056338,	0.475,	0.5033112582781457,	0.5,	0.18691588785046728,	0.27210884353741494,	0.4117647058823529,	0.14893617021276595,	0.21875,	0.5176848874598071,	0.34623655913978496,	0.4149484536082474,	[False, True, False, True, False, True, True, False, False]
0.6125,	0.32450331125827814,	0.42424242424242425,	0.5675675675675675,	0.39375,	0.4649446494464944,	0.6041666666666666,	0.27102803738317754,	0.37419354838709673,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.592,	0.31827956989247314,	0.41398601398601403,	[True, False, True, True, True, True, False, True, False]
0.5730337078651685,	0.33774834437086093,	0.425,	0.5446428571428571,	0.38125,	0.44852941176470584,	0.6078431372549019,	0.2897196261682243,	0.39240506329113917,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5703422053231939,	0.3225806451612903,	0.4120879120879121,	[True, False, True, True, True, True, True, True, False]
0.5483870967741935,	0.33774834437086093,	0.4180327868852459,	0.5446428571428571,	0.38125,	0.44852941176470584,	0.62,	0.2897196261682243,	0.3949044585987261,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5639097744360902,	0.3225806451612903,	0.4103967168262654,	[False, False, True, True, True, True, True, True, False]
0.5903614457831325,	0.32450331125827814,	0.4188034188034188,	0.5585585585585585,	0.3875,	0.4575645756457564,	0.6170212765957447,	0.27102803738317754,	0.3766233766233766,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5833333333333334,	0.3161290322580645,	0.4100418410041841,	[False, False, True, True, True, True, False, True, False]
0.5531914893617021,	0.3443708609271523,	0.42448979591836733,	0.5648148148148148,	0.38125,	0.4552238805970149,	0.5918367346938775,	0.27102803738317754,	0.3717948717948718,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5687022900763359,	0.3204301075268817,	0.4099037138927098,	[False, False, True, True, True, True, True, False, False]
0.5853658536585366,	0.31788079470198677,	0.4120171673819743,	0.5636363636363636,	0.3875,	0.45925925925925926,	0.5882352941176471,	0.2803738317757009,	0.379746835443038,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5764705882352941,	0.3161290322580645,	0.4083333333333333,	[True, False, True, True, True, True, False, False, False]
0.5454545454545454,	0.31788079470198677,	0.401673640167364,	0.5585585585585585,	0.3875,	0.4575645756457564,	0.5769230769230769,	0.2803738317757009,	0.3773584905660377,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.55893536121673,	0.3161290322580645,	0.4038461538461538,	[False, False, True, True, True, True, False, False, False]
0.6744186046511628,	0.3841059602649007,	0.4894514767932489,	0.5377358490566038,	0.35625,	0.42857142857142866,	0.5,	0.18691588785046728,	0.27210884353741494,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5843621399176955,	0.3053763440860215,	0.4011299435028248,	[False, True, False, True, False, True, False, True, True]
0.5764705882352941,	0.32450331125827814,	0.41525423728813554,	0.5576923076923077,	0.3625,	0.4393939393939394,	0.5918367346938775,	0.27102803738317754,	0.3717948717948718,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5742971887550201,	0.30752688172043013,	0.4005602240896359,	[True, False, True, True, True, True, True, False, False]
0.5581395348837209,	0.31788079470198677,	0.4050632911392405,	0.5140845070422535,	0.45625,	0.48344370860927144,	0.6060606060606061,	0.18691588785046728,	0.2857142857142857,	0.6,	0.1276595744680851,	0.21052631578947367,	0.5424354243542435,	0.3161290322580645,	0.39945652173913043,	[False, False, True, True, False, True, False, True, False]
0.575,	0.304635761589404,	0.39826839826839827,	0.524822695035461,	0.4625,	0.49169435215946844,	0.5625,	0.16822429906542055,	0.2589928057553957,	0.6,	0.1276595744680851,	0.21052631578947367,	0.5475285171102662,	0.3096774193548387,	0.3956043956043956,	[False, False, True, True, False, True, True, True, False]
0.39655172413793105,	0.304635761589404,	0.3445692883895131,	0.547945205479452,	0.5,	0.5228758169934641,	0.8,	0.14953271028037382,	0.2519685039370078,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.5102040816326531,	0.3225806451612903,	0.3952569169960474,	[True, False, False, True, False, True, False, False, False]
0.5660377358490566,	0.3973509933774834,	0.4669260700389105,	0.49074074074074076,	0.33125,	0.39552238805970147,	0.5208333333333334,	0.2336448598130841,	0.3225806451612903,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5330882352941176,	0.3118279569892473,	0.39348710990502034,	[False, True, False, True, True, True, False, True, True]
0.5897435897435898,	0.304635761589404,	0.4017467248908297,	0.5348837209302325,	0.43125,	0.47750865051903113,	0.6923076923076923,	0.16822429906542055,	0.2706766917293233,	0.6,	0.1276595744680851,	0.21052631578947367,	0.5720164609053497,	0.2989247311827957,	0.39265536723163846,	[False, False, True, True, False, True, False, False, False]
0.5825242718446602,	0.3973509933774834,	0.4724409448818897,	0.48623853211009177,	0.33125,	0.3940520446096654,	0.5106382978723404,	0.22429906542056074,	0.3116883116883117,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5353159851301115,	0.3096774193548387,	0.3923705722070845,	[False, True, False, True, True, True, True, True, True]
0.675,	0.3576158940397351,	0.46753246753246747,	0.5242718446601942,	0.3375,	0.4106463878326997,	0.6,	0.19626168224299065,	0.29577464788732394,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5938864628820961,	0.2924731182795699,	0.39193083573487036,	[False, True, False, True, False, True, True, True, True]
0.6883116883116883,	0.3509933774834437,	0.46491228070175433,	0.48,	0.375,	0.42105263157894735,	0.525,	0.19626168224299065,	0.2857142857142857,	0.75,	0.1276595744680851,	0.2181818181818182,	0.56,	0.3010752688172043,	0.39160839160839167,	[True, True, True, True, False, True, False, True, True]
0.3937007874015748,	0.33112582781456956,	0.3597122302158274,	0.544,	0.425,	0.47719298245614034,	0.5681818181818182,	0.2336448598130841,	0.3311258278145695,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.49185667752442996,	0.3247311827956989,	0.39119170984455953,	[False, False, False, True, True, True, False, True, False]
0.6582278481012658,	0.3443708609271523,	0.4521739130434782,	0.488,	0.38125,	0.4280701754385965,	0.5263157894736842,	0.18691588785046728,	0.27586206896551724,	0.7777777777777778,	0.14893617021276595,	0.25,	0.5577689243027888,	0.3010752688172043,	0.3910614525139665,	[False, True, True, True, False, True, False, False, True]
0.6973684210526315,	0.3509933774834437,	0.46696035242290745,	0.4878048780487805,	0.375,	0.42402826855123676,	0.5,	0.18691588785046728,	0.27210884353741494,	0.75,	0.1276595744680851,	0.2181818181818182,	0.562753036437247,	0.2989247311827957,	0.3904494382022472,	[True, True, True, True, False, True, False, False, True]
0.6823529411764706,	0.3841059602649007,	0.49152542372881364,	0.5096153846153846,	0.33125,	0.40151515151515144,	0.45652173913043476,	0.19626168224299065,	0.27450980392156865,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.562753036437247,	0.2989247311827957,	0.3904494382022472,	[True, True, False, True, False, True, True, False, True]
0.6588235294117647,	0.3708609271523179,	0.47457627118644063,	0.5242718446601942,	0.3375,	0.4106463878326997,	0.4883720930232558,	0.19626168224299065,	0.27999999999999997,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5702479338842975,	0.2967741935483871,	0.39038189533239037,	[True, True, False, True, False, True, True, True, True]
0.5825242718446602,	0.3973509933774834,	0.4724409448818897,	0.4818181818181818,	0.33125,	0.39259259259259266,	0.48,	0.22429906542056074,	0.3057324840764331,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5274725274725275,	0.3096774193548387,	0.3902439024390244,	[False, True, False, True, True, True, False, False, True]
0.6823529411764706,	0.3841059602649007,	0.49152542372881364,	0.4953271028037383,	0.33125,	0.39700374531835203,	0.5,	0.18691588785046728,	0.27210884353741494,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5679012345679012,	0.2967741935483871,	0.3898305084745763,	[False, True, False, True, False, True, False, False, True]
0.691358024691358,	0.3708609271523179,	0.4827586206896551,	0.5148514851485149,	0.325,	0.3984674329501916,	0.525,	0.19626168224299065,	0.2857142857142857,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5836909871244635,	0.2924731182795699,	0.38968481375358166,	[False, True, False, True, False, True, True, False, True]
0.5825242718446602,	0.3973509933774834,	0.4724409448818897,	0.48598130841121495,	0.325,	0.3895131086142322,	0.48,	0.22429906542056074,	0.3057324840764331,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5296296296296297,	0.30752688172043013,	0.3891156462585034,	[False, True, False, True, True, True, True, False, True]
0.5789473684210527,	0.2913907284768212,	0.3876651982378855,	0.5107913669064749,	0.44375,	0.47491638795986624,	0.5714285714285714,	0.18691588785046728,	0.2816901408450704,	0.6,	0.1276595744680851,	0.21052631578947367,	0.5423076923076923,	0.3032258064516129,	0.3889655172413793,	[True, False, True, True, False, True, True, True, False]
0.5903614457831325,	0.32450331125827814,	0.4188034188034188,	0.544,	0.425,	0.47719298245614034,	0.6363636363636364,	0.1308411214953271,	0.21705426356589144,	0.6,	0.1276595744680851,	0.21052631578947367,	0.5708333333333333,	0.2946236559139785,	0.3886524822695035,	[False, False, True, True, False, True, True, False, False]
0.6190476190476191,	0.3443708609271523,	0.44255319148936173,	0.49557522123893805,	0.35,	0.41025641025641024,	0.4576271186440678,	0.2523364485981308,	0.32530120481927705,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5338345864661654,	0.3053763440860215,	0.38850889192886456,	[True, True, True, True, True, True, False, True, True]
0.6666666666666666,	0.3443708609271523,	0.4541484716157206,	0.47619047619047616,	0.375,	0.41958041958041953,	0.5526315789473685,	0.19626168224299065,	0.2896551724137931,	0.6666666666666666,	0.1276595744680851,	0.21428571428571427,	0.5537848605577689,	0.2989247311827957,	0.388268156424581,	[False, True, True, True, False, True, False, True, True]
0.3865546218487395,	0.304635761589404,	0.3407407407407408,	0.6,	0.4125,	0.4888888888888889,	0.6486486486486487,	0.22429906542056074,	0.3333333333333333,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.51985559566787,	0.3096774193548387,	0.38814016172506743,	[False, False, False, True, True, True, True, False, False]
0.6190476190476191,	0.3443708609271523,	0.44255319148936173,	0.49557522123893805,	0.35,	0.41025641025641024,	0.45,	0.2523364485981308,	0.32335329341317365,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5318352059925093,	0.3053763440860215,	0.3879781420765027,	[False, True, True, True, True, True, True, True, True]
0.6091954022988506,	0.3509933774834437,	0.44537815126050423,	0.4827586206896552,	0.35,	0.4057971014492754,	0.4426229508196721,	0.2523364485981308,	0.3214285714285714,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5218978102189781,	0.30752688172043013,	0.3870094722598106,	[True, True, True, True, True, True, True, False, True]
0.6388888888888888,	0.304635761589404,	0.41255605381165916,	0.5392156862745098,	0.34375,	0.4198473282442748,	0.509090909090909,	0.2616822429906542,	0.34567901234567894,	0.7777777777777778,	0.14893617021276595,	0.25,	0.5714285714285714,	0.2924731182795699,	0.3869132290184922,	[True, False, True, True, True, True, True, True, True]
0.625,	0.2980132450331126,	0.4035874439461884,	0.5612244897959183,	0.34375,	0.4263565891472868,	0.5185185185185185,	0.2616822429906542,	0.3478260869565218,	0.7777777777777778,	0.14893617021276595,	0.25,	0.5793991416309013,	0.2903225806451613,	0.3868194842406877,	[True, False, True, True, True, True, False, False, True]
0.625,	0.2980132450331126,	0.4035874439461884,	0.5612244897959183,	0.34375,	0.4263565891472868,	0.5185185185185185,	0.2616822429906542,	0.3478260869565218,	0.7777777777777778,	0.14893617021276595,	0.25,	0.5793991416309013,	0.2903225806451613,	0.3868194842406877,	[True, False, True, True, True, True, False, True, True]
0.6022727272727273,	0.3509933774834437,	0.4435146443514644,	0.48717948717948717,	0.35625,	0.4115523465703971,	0.43333333333333335,	0.24299065420560748,	0.31137724550898205,	0.7,	0.14893617021276595,	0.24561403508771928,	0.52,	0.30752688172043013,	0.38648648648648654,	[True, True, True, True, True, True, True, True, True]
0.6388888888888888,	0.304635761589404,	0.41255605381165916,	0.5392156862745098,	0.34375,	0.4198473282442748,	0.509090909090909,	0.2616822429906542,	0.34567901234567894,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5690376569037657,	0.2924731182795699,	0.38636363636363635,	[True, False, True, True, True, True, True, False, True]
0.611764705882353,	0.3443708609271523,	0.4406779661016949,	0.509090909090909,	0.35,	0.4148148148148148,	0.43333333333333335,	0.24299065420560748,	0.31137724550898205,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5320754716981132,	0.3032258064516129,	0.38630136986301367,	[False, True, True, True, True, True, False, False, True]
0.6190476190476191,	0.3443708609271523,	0.44255319148936173,	0.49557522123893805,	0.35,	0.41025641025641024,	0.4482758620689655,	0.24299065420560748,	0.3151515151515152,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5320754716981132,	0.3032258064516129,	0.38630136986301367,	[True, True, True, True, True, True, False, False, True]
