mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.575,	0.45695364238410596,	0.5092250922509225,	0.55,	0.55,	0.55,	0.39705882352941174,	0.2523364485981308,	0.30857142857142855,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.5231607629427792,	0.4129032258064516,	0.46153846153846156,	[False, True, False, True, False, True, False, False, False]
0.5769230769230769,	0.4966887417218543,	0.5338078291814947,	0.5104895104895105,	0.45625,	0.4818481848184819,	0.4342105263157895,	0.308411214953271,	0.360655737704918,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.5235457063711911,	0.4064516129032258,	0.45762711864406785,	[True, True, False, True, True, True, True, False, False]
0.5877862595419847,	0.5099337748344371,	0.5460992907801417,	0.5142857142857142,	0.45,	0.48,	0.4177215189873418,	0.308411214953271,	0.3548387096774194,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5220994475138122,	0.4064516129032258,	0.45707376058041116,	[False, True, False, True, True, True, True, False, False]
0.5877862595419847,	0.5099337748344371,	0.5460992907801417,	0.5220588235294118,	0.44375,	0.4797297297297297,	0.4125,	0.308411214953271,	0.35294117647058815,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5251396648044693,	0.4043010752688172,	0.456865127582017,	[False, True, False, True, True, True, True, True, False]
0.6218487394957983,	0.4900662251655629,	0.5481481481481482,	0.5102040816326531,	0.46875,	0.48859934853420195,	0.375,	0.2803738317757009,	0.320855614973262,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5210084033613446,	0.4,	0.4525547445255475,	[False, True, True, True, True, True, True, True, False]
0.5967741935483871,	0.4900662251655629,	0.5381818181818182,	0.5100671140939598,	0.475,	0.4919093851132686,	0.4126984126984127,	0.24299065420560748,	0.30588235294117644,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5289017341040463,	0.3935483870967742,	0.45129469790382243,	[False, True, True, True, True, True, False, False, False]
0.6068376068376068,	0.47019867549668876,	0.5298507462686567,	0.5208333333333334,	0.46875,	0.493421052631579,	0.417910447761194,	0.2616822429906542,	0.3218390804597701,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5339233038348082,	0.38924731182795697,	0.4502487562189054,	[True, True, False, True, True, True, False, True, False]
0.5658914728682171,	0.48344370860927155,	0.5214285714285714,	0.5177304964539007,	0.45625,	0.48504983388704315,	0.42105263157894735,	0.29906542056074764,	0.34972677595628415,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5182072829131653,	0.3978494623655914,	0.45012165450121655,	[True, True, False, True, True, True, True, True, False]
0.5483870967741935,	0.4503311258278146,	0.4945454545454545,	0.5182926829268293,	0.53125,	0.5246913580246914,	0.4117647058823529,	0.2616822429906542,	0.32,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.504,	0.4064516129032258,	0.44999999999999996,	[False, True, False, True, False, True, False, True, False]
0.6083333333333333,	0.48344370860927155,	0.5387453874538745,	0.5,	0.45,	0.4736842105263158,	0.4264705882352941,	0.27102803738317754,	0.3314285714285714,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.5290697674418605,	0.3913978494623656,	0.4499381953028431,	[True, True, False, True, True, True, False, False, False]
0.5877192982456141,	0.44370860927152317,	0.5056603773584906,	0.5384615384615384,	0.525,	0.5316455696202531,	0.40350877192982454,	0.21495327102803738,	0.2804878048780488,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.527536231884058,	0.3913978494623656,	0.44938271604938274,	[False, True, False, True, False, True, True, False, False]
0.6106194690265486,	0.45695364238410596,	0.5227272727272727,	0.5151515151515151,	0.53125,	0.5230769230769231,	0.38596491228070173,	0.205607476635514,	0.26829268292682923,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.519774011299435,	0.3956989247311828,	0.44932844932844934,	[True, True, False, True, False, True, True, True, False]
0.5645161290322581,	0.46357615894039733,	0.509090909090909,	0.5121951219512195,	0.525,	0.5185185185185186,	0.4,	0.24299065420560748,	0.3023255813953488,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.5053763440860215,	0.4043010752688172,	0.44922341696535245,	[True, True, False, True, False, True, False, True, False]
0.6186440677966102,	0.48344370860927155,	0.5427509293680297,	0.5034013605442177,	0.4625,	0.482084690553746,	0.37349397590361444,	0.2897196261682243,	0.3263157894736842,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5153203342618384,	0.3978494623655914,	0.4490291262135922,	[False, True, True, True, True, True, True, False, False]
0.6,	0.4768211920529801,	0.5313653136531367,	0.5217391304347826,	0.45,	0.4832214765100671,	0.40540540540540543,	0.2803738317757009,	0.3314917127071823,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5276967930029155,	0.38924731182795697,	0.44801980198019803,	[False, True, False, True, True, True, False, True, False]
0.6115702479338843,	0.4900662251655629,	0.5441176470588235,	0.4965986394557823,	0.45625,	0.47557003257328995,	0.4153846153846154,	0.2523364485981308,	0.313953488372093,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5276967930029155,	0.38924731182795697,	0.44801980198019803,	[False, True, True, True, True, True, False, True, False]
0.6,	0.4768211920529801,	0.5313653136531367,	0.5217391304347826,	0.45,	0.4832214765100671,	0.40540540540540543,	0.2803738317757009,	0.3314917127071823,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5261627906976745,	0.38924731182795697,	0.4474660074165637,	[False, True, False, True, True, True, False, False, False]
0.5897435897435898,	0.45695364238410596,	0.5149253731343283,	0.5192307692307693,	0.50625,	0.5126582278481013,	0.3939393939393939,	0.24299065420560748,	0.3005780346820809,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.5139664804469274,	0.3956989247311828,	0.44714459295261244,	[True, True, False, True, False, True, False, False, False]
0.6071428571428571,	0.4503311258278146,	0.5171102661596959,	0.4939759036144578,	0.5125,	0.5030674846625767,	0.4583333333333333,	0.205607476635514,	0.2838709677419355,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5327380952380952,	0.3849462365591398,	0.44694132334581776,	[False, True, True, True, False, True, True, True, False]
0.6166666666666667,	0.4900662251655629,	0.5461254612546125,	0.4897959183673469,	0.45,	0.46905537459283386,	0.421875,	0.2523364485981308,	0.31578947368421056,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5278592375366569,	0.3870967741935484,	0.4466501240694789,	[True, True, True, True, True, True, False, True, False]
0.6140350877192983,	0.46357615894039733,	0.5283018867924527,	0.5228758169934641,	0.5,	0.5111821086261982,	0.39285714285714285,	0.205607476635514,	0.26993865030674846,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.5263157894736842,	0.3870967741935484,	0.44609665427509293,	[True, True, False, True, False, True, True, False, False]
0.5967741935483871,	0.4900662251655629,	0.5381818181818182,	0.5,	0.45625,	0.4771241830065359,	0.4126984126984127,	0.24299065420560748,	0.30588235294117644,	0.7,	0.14893617021276595,	0.24561403508771928,	0.5247813411078717,	0.3870967741935484,	0.44554455445544555,	[True, True, True, True, True, True, False, False, False]
0.6186440677966102,	0.48344370860927155,	0.5427509293680297,	0.5069444444444444,	0.45625,	0.48026315789473684,	0.38571428571428573,	0.2523364485981308,	0.30508474576271183,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5247813411078717,	0.3870967741935484,	0.44554455445544555,	[True, True, True, True, True, True, True, False, False]
0.6239316239316239,	0.48344370860927155,	0.5447761194029851,	0.5174825174825175,	0.4625,	0.4884488448844885,	0.3611111111111111,	0.24299065420560748,	0.2905027932960894,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5247813411078717,	0.3870967741935484,	0.44554455445544555,	[True, True, True, True, True, True, True, True, False]
