mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.45108695652173914,	0.5496688741721855,	0.4955223880597015,	0.4696969696969697,	0.58125,	0.5195530726256984,	0.4056603773584906,	0.40186915887850466,	0.403755868544601,	0.4,	0.1702127659574468,	0.23880597014925373,	0.4468503937007874,	0.4881720430107527,	0.46659815005138744,	[False, True, False, True, False, True, False, False, False]
0.46111111111111114,	0.5496688741721855,	0.5015105740181269,	0.43601895734597157,	0.575,	0.4959568733153638,	0.44047619047619047,	0.34579439252336447,	0.387434554973822,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.4517453798767967,	0.4731182795698925,	0.4621848739495798,	[True, True, False, True, True, True, False, False, False]
0.4666666666666667,	0.5562913907284768,	0.5075528700906344,	0.4306930693069307,	0.54375,	0.48066298342541436,	0.475,	0.35514018691588783,	0.40641711229946526,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.4568421052631579,	0.4666666666666667,	0.4617021276595745,	[False, True, False, True, True, True, False, False, False]
0.46408839779005523,	0.5562913907284768,	0.5060240963855421,	0.4371859296482412,	0.54375,	0.4846796657381615,	0.45,	0.3364485981308411,	0.3850267379679144,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.4555084745762712,	0.46236559139784944,	0.4589114194236926,	[False, True, False, True, True, True, True, False, False]
0.4745762711864407,	0.5562913907284768,	0.5121951219512195,	0.45544554455445546,	0.575,	0.5082872928176796,	0.3627450980392157,	0.34579439252336447,	0.35406698564593303,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.44288577154308617,	0.4752688172043011,	0.4585062240663901,	[True, True, False, True, False, True, False, False, False]
0.4581005586592179,	0.543046357615894,	0.496969696969697,	0.42105263157894735,	0.55,	0.47696476964769646,	0.4642857142857143,	0.3644859813084112,	0.4083769633507853,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.44834710743801653,	0.4666666666666667,	0.45732349841938885,	[False, True, False, True, True, True, False, True, False]
0.46629213483146065,	0.5496688741721855,	0.5045592705167173,	0.4362745098039216,	0.55625,	0.489010989010989,	0.44155844155844154,	0.3177570093457944,	0.3695652173913043,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.4543524416135881,	0.46021505376344085,	0.45726495726495725,	[True, True, False, True, True, True, True, False, False]
0.45263157894736844,	0.5695364238410596,	0.5043988269794721,	0.44711538461538464,	0.58125,	0.5054347826086957,	0.36893203883495146,	0.35514018691588783,	0.36190476190476184,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.4326923076923077,	0.4838709677419355,	0.4568527918781726,	[True, True, False, True, False, True, False, True, False]
0.46111111111111114,	0.5496688741721855,	0.5015105740181269,	0.43283582089552236,	0.54375,	0.48199445983379496,	0.43902439024390244,	0.3364485981308411,	0.38095238095238093,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.45052631578947366,	0.46021505376344085,	0.45531914893617015,	[False, True, False, True, True, True, True, True, False]
0.44692737430167595,	0.5298013245033113,	0.48484848484848486,	0.4423076923076923,	0.575,	0.5,	0.4,	0.3925233644859813,	0.39622641509433965,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.4344422700587084,	0.4774193548387097,	0.4549180327868852,	[False, True, False, True, False, True, False, True, False]
