mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.3687150837988827,	0.4370860927152318,	0.4,	0.4405940594059406,	0.55625,	0.4917127071823204,	0.3865546218487395,	0.42990654205607476,	0.40707964601769914,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.40625,	0.44731182795698926,	0.42579324462640744,	[True, False, True, True, True, True, True, True, False, False, True, True, False]
0.5104895104895105,	0.48344370860927155,	0.4965986394557823,	0.44495412844036697,	0.60625,	0.5132275132275131,	0.36153846153846153,	0.4392523364485981,	0.39662447257383965,	0.5384615384615384,	0.14893617021276595,	0.23333333333333334,	0.4444444444444444,	0.4817204301075269,	0.4623323013415893,	[False, True, True, True, True, True, True, True, False, False, True, True, False]
0.5072463768115942,	0.46357615894039733,	0.4844290657439447,	0.44036697247706424,	0.6,	0.5079365079365079,	0.36153846153846153,	0.4392523364485981,	0.39662447257383965,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.44176706827309237,	0.4731182795698925,	0.45690550363447563,	[True, True, True, True, True, True, True, True, False, False, True, True, False]
0,	0.0,	0,	0.06711409395973154,	0.0625,	0.06472491909385113,	0.26,	0.12149532710280374,	0.1656050955414013,	0,	0.0,	0,	0.11557788944723618,	0.04946236559139785,	0.06927710843373494,	[False, False, False, False, False, False, False, False, True, False, True, True, False]
0.5,	0.006622516556291391,	0.0130718954248366,	0.09803921568627451,	0.125,	0.1098901098901099,	0.18333333333333332,	0.102803738317757,	0.1317365269461078,	0,	0.0,	0,	0.12030075187969924,	0.06881720430107527,	0.08755129958960328,	[True, False, False, False, False, False, False, False, True, False, True, True, False]
0.5,	0.2980132450331126,	0.3734439834024897,	0.18181818181818182,	0.3,	0.22641509433962265,	0.2736842105263158,	0.24299065420560748,	0.2574257425742575,	0,	0.0,	0,	0.2650334075723831,	0.25591397849462366,	0.2603938730853392,	[False, True, False, False, False, False, False, False, True, False, True, True, False]
0.4943820224719101,	0.2913907284768212,	0.3666666666666666,	0.18146718146718147,	0.29375,	0.2243436754176611,	0.26136363636363635,	0.21495327102803738,	0.23589743589743586,	0,	0.0,	0,	0.26146788990825687,	0.24516129032258063,	0.25305216426193117,	[True, True, False, False, False, False, False, False, True, False, True, True, False]
0.24324324324324326,	0.11920529801324503,	0.16,	0.22302158273381295,	0.3875,	0.2831050228310502,	0.23809523809523808,	0.2336448598130841,	0.2358490566037736,	0,	0.0,	0,	0.22975929978118162,	0.22580645161290322,	0.22776572668112796,	[False, False, True, False, False, False, False, False, True, False, True, True, False]
0.23943661971830985,	0.11258278145695365,	0.15315315315315317,	0.22181818181818183,	0.38125,	0.28045977011494255,	0.23809523809523808,	0.2336448598130841,	0.2358490566037736,	0,	0.0,	0,	0.22838137472283815,	0.221505376344086,	0.22489082969432314,	[True, False, True, False, False, False, False, False, True, False, True, True, False]
0.4126984126984127,	0.3443708609271523,	0.3754512635379061,	0.237012987012987,	0.45625,	0.31196581196581197,	0.2644628099173554,	0.29906542056074764,	0.2807017543859649,	0,	0.0,	0,	0.2828828828828829,	0.33763440860215055,	0.307843137254902,	[False, True, True, False, False, False, False, False, True, False, True, True, False]
